#1.2																
19067	15															
NAME	DESCRIPTION	S42	S46	S81	S82	S47	S48	S75	S77	S79	S43	S44	S80	S74	S76	S78
ENSMUSG00000000001	na	3769.61	6814.14	7576.47	4113.54	3509.35	5871.36	4479.02	5409.48	5592.81	4541.85	4754.05	4320.74	4231.69	3815.91	4102.43
ENSMUSG00000000028	na	86.6365	73.8629	79.2058	101.381	61.9449	57.1576	31.4995	49.4504	24.0939	63.4065	92.6915	75.9039	49.0478	42.7282	66.1278
ENSMUSG00000000049	na	778.807	929.734	749.815	1312.89	406.944	349.296	282.479	155.138	190.744	498.472	300.733	370.444	17.3554	93.7264	7.53355
ENSMUSG00000000056	na	958.532	599.11	558.841	1646.6	1024.67	446.941	402.38	870.714	755.948	1912.92	1651.97	1504.05	1500.86	1519.61	1629.76
ENSMUSG00000000058	na	2044.25	2289.75	4233.11	2430.63	2863.23	3165.1	3127.59	2830.31	4098.98	1741.24	2000.08	2381.89	2899.85	2759.41	2302.75
ENSMUSG00000000078	na	11254.5	39469.2	37228.7	3847.42	4505.62	31728.2	36671.3	25795.3	20015	1574.43	1650.94	2560.92	2137.73	2430.69	2039.92
ENSMUSG00000000085	na	807.379	903.939	880.943	919.192	874.109	858.953	739.728	883.319	980.825	759.902	896.015	938.075	860.977	844.913	864.684
ENSMUSG00000000088	na	14834	11958.6	12127.4	8197.24	11357.7	10449	16137.4	11044.7	10264.4	11432.5	10392.9	8423.76	9133.27	8470.51	10215.1
ENSMUSG00000000093	na	2121.67	1634.36	1977.5	2667.17	2794.4	1958.44	2538.25	1784.09	2575.04	2657.22	2336.86	2329.92	3478.62	2571.27	2559.73
ENSMUSG00000000120	na	74.6549	103.174	47.5235	80.2601	27.5311	90.4995	94.4984	116.354	103.403	21.4606	39.1364	28.8765	67.1577	35.8366	27.623
ENSMUSG00000000126	na	81.1065	102.001	104.728	157.141	152.281	78.5918	88.4017	63.025	89.3483	79.9897	88.5719	163.358	218.074	160.576	92.0766
ENSMUSG00000000127	na	140.093	230.968	215.616	243.315	237.455	285.788	163.594	191.984	246.963	170.71	229.669	242.562	271.649	247.41	196.709
ENSMUSG00000000131	na	2430.44	3118.64	2819.71	1941.45	1811.88	2544.31	2291.33	2571.41	2602.13	1743.18	1845.6	1895.95	1968.69	1836.63	1799.68
ENSMUSG00000000134	na	1322.59	1802.04	1849.01	1355.14	1250.08	2064.02	2076.94	1741.43	1622.33	1029.14	1133.93	1271.39	1435.21	1044.08	1104.08
ENSMUSG00000000142	na	29.4933	19.9313	27.282	137.709	57.6432	25.4034	19.3061	17.4531	104.407	31.2155	80.3327	292.89	341.07	312.192	80.3578
ENSMUSG00000000148	na	484.795	350.556	322.984	666.58	625.472	439.002	312.962	379.12	470.836	776.486	734.322	587.43	670.066	615.423	681.364
