#1.2										
16672	9									
NAME	DESCRIPTION	S89	S88	S87	S84	S85	S83	S117	S116	S115
ENSMUSG00000000001	na	9687.61	6024.61	7714.29	7224.38	7211.68	6989.41	8594.4	8563.9	7812.87
ENSMUSG00000000028	na	200.906	117.041	100.639	76.1876	47.175	52.552	26.7905	69.564	43.1035
ENSMUSG00000000049	na	97175.9	78514.9	93567.6	117310	101948	134885	138755	107215	134444
ENSMUSG00000000056	na	2340.86	1890.66	2772.71	5285.32	4209.23	2224.7	4838.37	1237.11	3338.44
ENSMUSG00000000058	na	60.8805	58.5205	112.962	131.461	191.743	78.828	230.399	33.842	114.016
ENSMUSG00000000078	na	12660	3221.62	9139.71	481.028	655.884	7290.69	1413.2	7894.55	688.267
ENSMUSG00000000085	na	497.698	549.192	579.188	452.644	467.185	572.817	434.008	599.754	521.414
ENSMUSG00000000088	na	6501.94	6585.8	7730.73	9602.62	8365.11	10440.5	7246.67	7279.72	8153.23
ENSMUSG00000000093	na	220.692	402.141	199.224	162.832	286.093	408.154	231.738	308.338	186.319
ENSMUSG00000000120	na	216.126	75.0262	63.6696	104.571	223.701	437.933	152.706	180.49	182.147
ENSMUSG00000000126	na	10.6541	19.5068	22.5924	52.2856	53.2621	15.7656	72.3344	11.2807	65.3505
ENSMUSG00000000127	na	788.404	540.189	743.497	325.664	360.66	578.072	310.77	498.228	372.637
ENSMUSG00000000131	na	2811.16	1896.67	2957.55	2067.53	2311.59	2727.45	2579.93	3359.75	2397.11
ENSMUSG00000000134	na	9470	4953.13	8876.81	2146.69	2174.61	9093.37	2746.05	6653.71	1964.68
ENSMUSG00000000142	na	57.8365	135.047	39.0233	748.431	529.577	61.3106	754.155	48.8828	898.222
ENSMUSG00000000148	na	493.132	927.325	425.149	1000.89	766.972	236.484	630.918	312.098	725.809
ENSMUSG00000000149	na	2121.69	2385.83	2505.71	7872.72	8707.59	2039.02	5475.94	2854.01	7462.48
ENSMUSG00000000154	na	2418.47	2025.71	3413.53	4253.08	3551.86	5171.17	2964.35	2914.17	4381.24
ENSMUSG00000000159	na	490.088	649.728	497.034	1278.76	1390.71	539.534	1134.58	385.422	1285.38
ENSMUSG00000000167	na	41.0943	64.5226	36.9694	47.804	28.9137	14.0139	24.1115	30.0817	54.227
ENSMUSG00000000168	na	1039.53	997.85	1324.74	1889.75	2419.62	2161.64	2309.34	2718.64	2664.07
ENSMUSG00000000171	na	6670.98	5604.46	7777.96	11420.7	11620.3	12319.9	11519.9	10043.5	12661.3
ENSMUSG00000000184	na	1098.89	862.802	527.842	401.852	421.531	716.459	538.49	977.657	574.251
ENSMUSG00000000194	na	2330.2	2282.3	2109.31	1921.12	2078.74	1749.98	2215.57	2154.61	1802.01
ENSMUSG00000000204	na	7982.73	8200.09	6656.46	34.3591	120.22	2563.58	164.762	7900.06	52.8366
ENSMUSG00000000244	na	4.56604	34.5121	4.10772	8.96325	15.2177	8.75866	18.7534	20.6812	16.6852
ENSMUSG00000000247	na	65.4465	94.5331	28.754	164.326	199.352	143.642	214.324	77.0845	239.155
ENSMUSG00000000266	na	534.226	439.654	531.95	282.343	388.052	553.546	349.616	701.278	379.59
ENSMUSG00000000275	na	7685.78	4885.81	11310.7	9302.56	11578.7	7005.19	11224.8	9850.03	9803.86
ENSMUSG00000000276	na	179.598	226.579	349.156	230.057	193.265	280.277	127.255	235.014	212.737
ENSMUSG00000000278	na	2302.81	1601.06	3099.27	2012.25	2135.05	2345.57	2503.58	2457.3	3239.72
ENSMUSG00000000282	na	3069.9	933.326	2891.83	1127.88	873.498	2296.52	951.064	2338.86	938.545
ENSMUSG00000000290	na	850.803	1053.37	1310.37	243.501	353.051	1282.26	440.703	1280.35	386.542
ENSMUSG00000000295	na	19.7862	49.5173	45.1849	28.3836	47.175	99.8488	45.5439	62.0436	41.7131
ENSMUSG00000000296	na	219.17	255.089	375.856	349.567	340.878	663.906	257.189	511.389	443.55
ENSMUSG00000000301	na	9742.45	10564.7	7383.48	10218.5	9540.04	11997.1	13961.6	11620.8	14224.7
ENSMUSG00000000303	na	1269.36	511.679	2014.83	2107.86	1795.69	2871.09	918.915	2336.98	1333.43
ENSMUSG00000000305	na	117.195	120.042	115.016	46.3101	71.5234	495.74	125.915	468.147	76.474
ENSMUSG00000000317	na	398.767	661.731	297.809	62.7427	79.1322	649.893	107.162	473.787	45.8844
ENSMUSG00000000320	na	164.377	136.548	135.555	25.3959	16.7395	168.166	17.4138	229.373	20.8566
ENSMUSG00000000326	na	6086.45	5721.35	33138.2	64886.6	67072.7	45455.9	35829.7	14972.7	48302.7
ENSMUSG00000000339	na	578.364	427.649	708.581	439.199	441.314	712.954	385.783	573.433	362.904
ENSMUSG00000000340	na	3442.79	2879.51	4773.17	6667.16	6526.89	7197.86	4889.27	4275.37	6355.69
ENSMUSG00000000346	na	10742.5	7407.23	11300.6	7059.24	6403.89	14002.1	7030.04	12267.1	7417.2
ENSMUSG00000000355	na	1304.37	1566.55	1310.36	1505.83	1351.34	1432.92	1338.18	1317.96	1305.62
ENSMUSG00000000374	na	2727.44	1685.09	2635.1	1824.02	2051.35	1946.18	2279.87	3228.14	1921.59
ENSMUSG00000000378	na	1103.46	1140.4	1238.47	1157.76	1252.43	930.172	1134.58	864.849	989.991
ENSMUSG00000000384	na	2671.11	2486.37	3123.91	2370.76	2308.52	3317.79	2251.74	3619.22	2085.67
ENSMUSG00000000385	na	456.604	258.09	359.425	342.097	407.836	278.525	486.248	543.351	436.597
ENSMUSG00000000386	na	532.979	457.66	1133.73	144.36	103.481	880.133	127.672	1257.86	76.6649
ENSMUSG00000000392	na	80.6667	43.5152	102.693	22.4081	13.696	50.8002	26.7905	71.4441	27.8087
ENSMUSG00000000399	na	5584.31	6135.73	5857.52	6695.44	6016.92	7563.87	6002.29	6672.39	6327.78
ENSMUSG00000000409	na	89.7988	117.041	61.6157	25.3959	31.9572	94.5935	62.9577	124.087	76.474
ENSMUSG00000000420	na	2132.37	1865.16	2817.87	3074.44	3551.75	2899.16	3146.53	3004.41	3149.3
ENSMUSG00000000439	na	388.113	544.69	552.488	803.705	881.107	422.168	723.345	556.512	901.003
ENSMUSG00000000440	na	140.025	237.083	133.501	258.441	407.835	243.491	309.431	392.943	547.833
ENSMUSG00000000441	na	5203.77	4365.02	5136.72	5458.64	5283.62	5482.95	5419.76	5595.23	5412.97
ENSMUSG00000000486	na	54.7925	93.0325	47.2387	44.8162	36.5226	70.0693	60.2787	58.2834	59.7888
ENSMUSG00000000489	na	73.0566	214.575	39.0233	100.09	143.047	56.0554	164.762	31.9618	90.3784
ENSMUSG00000000530	na	450.516	228.08	297.809	129.967	168.917	175.173	175.478	223.733	155.729
ENSMUSG00000000531	na	48.7044	121.542	47.2387	49.2979	53.2621	119.118	99.125	60.1635	97.3306
ENSMUSG00000000532	na	10856.5	5641.97	9741.45	956.08	1092.63	8077.24	3087.61	11594.6	1063.68
ENSMUSG00000000538	na	2872.03	2163.75	2179.14	2461.9	2115.27	1552.04	2421.86	1620.65	2271.95
ENSMUSG00000000552	na	257.22	321.112	349.156	400.358	453.488	294.291	592.068	244.414	611.793
ENSMUSG00000000555	na	1727.47	1811.12	1795.08	1238.42	1167.2	1404.9	1386.42	1511.6	1494.72
ENSMUSG00000000561	na	2889.79	2687.45	2493.83	3000.56	2642.6	2129.72	2308.46	2263.54	2109.3
ENSMUSG00000000563	na	13869.1	13948	13678.9	15197.5	14399.4	17441.3	13685.8	15307.7	15347.8
ENSMUSG00000000567	na	4433.62	1159.91	3579.87	794.741	301.311	5055.5	332.203	7183.9	239.155
ENSMUSG00000000568	na	3109.47	4238.97	3220.45	2641.17	2606.79	5635.32	3204.15	5012.37	2837.88
ENSMUSG00000000579	na	147.5	341.565	93.1174	113.772	109.884	107.005	205.628	113.465	165.328
ENSMUSG00000000581	na	1862.94	2622.92	2212.01	2308.04	2042.22	2550.52	2337.47	2665.99	2758.62
ENSMUSG00000000594	na	2779.2	2400.84	4099.5	7161.64	6112.96	9000.4	6589.13	5907.3	8768.1
ENSMUSG00000000600	na	2385	2042.22	1914.19	1553.63	1666.34	2420.89	1800.32	2024.88	1433.54
