#1.2																
20399	15															
NAME	DESCRIPTION	S1	S5	S40	S41	S6	S7	S34	S36	S38	S2	S3	S39	S33	S35	S37
ENSMUSG00000000001	na	4056.19	6867	6082.61	3831.6	5240.57	5679.8	3672.88	5904.54	5834.48	3110.35	3739.72	3568.98	2867.3	4490.79	2836.32
ENSMUSG00000000028	na	60.2653	159.526	176.277	69.8653	66.9042	137.527	72.1154	67.5368	93.3059	69.6541	41.158	81.0977	53.9839	60.4285	54.167
ENSMUSG00000000031	na	3.34807	2.76635	3.56835	3.88141	13.3808	58.6902	3.00481	21.2475	6.98208	9.76459	35.5088	10.813	162.635	20.3549	32.5002
ENSMUSG00000000037	na	12.5553	9.22117	7.13671	10.9973	6.29687	3.50389	26.0417	13.6591	3.17367	9.76459	16.1404	10.813	17.7668	31.1684	20.9897
ENSMUSG00000000049	na	22.5995	11.9875	22.8375	225.122	64.5429	10.5117	13.0208	22.7652	108.54	9.76459	4.03509	10.1372	74.4841	10.8135	0.677088
ENSMUSG00000000056	na	160.707	361.47	398.228	562.804	807.574	228.629	154.247	365.003	344.026	501.9	735.194	624.453	534.372	919.786	517.972
ENSMUSG00000000058	na	4397.69	2854.87	3310.72	9462.32	10505.7	2353.73	2554.09	4725.3	2809.97	10383.8	16820.6	13191.7	10101.2	15525.3	11427.2
ENSMUSG00000000078	na	23569.8	20344.4	19766.4	11894	14415.2	19630.7	27806.6	19623	18349	13869.6	12136.9	14978.1	10621.2	12069.1	11477.2
ENSMUSG00000000085	na	1373.55	1221.8	1193.98	1325.49	1329.43	1126.5	1635.61	1460.77	1246.61	1152.87	1313.83	1313.11	1201.31	1293.17	1255.32
ENSMUSG00000000088	na	2977.25	2807.82	2441.48	1830.09	1460.86	3469.76	3190.11	2153.57	2556.68	2745.78	1823.05	1894.29	2506.49	1320.51	1866.72
ENSMUSG00000000093	na	4352.49	4541.42	4571.06	7596.56	9246.95	2788.22	2779.45	6216.42	5995.7	8504.96	10768.9	9546.56	10912.3	11774	11866
ENSMUSG00000000094	na	1700.83	2256.43	1809.13	3200.82	3767.93	1772.96	1149.83	2703.7	2451.98	3602.64	2595.33	2326.13	2288.52	3726.91	3112.5
ENSMUSG00000000120	na	17.5774	24.8971	13.5597	20.7008	19.6777	46.4265	26.0417	26.5594	49.5093	18.2272	23.4035	15.5437	41.0004	31.8045	31.8231
ENSMUSG00000000125	na	4.18509	0.922117	4.99569	3.88141	1.57422	0.875972	8.01282	2.27652	0.634734	1.30195	8.07018	4.05489	3.4167	1.27218	2.03126
ENSMUSG00000000126	na	163.218	99.5886	137.025	417.251	390.407	77.9615	88.1411	157.08	122.504	419.227	428.53	498.75	606.809	400.099	540.99
ENSMUSG00000000127	na	204.232	241.595	221.951	365.5	410.083	316.226	261.419	303.536	291.343	365.848	468.069	440.631	340.303	513.324	438.753
ENSMUSG00000000131	na	2292.59	3484.68	3044.48	2133.47	2388.87	2772.45	2858.59	3169.67	2599.24	1756.98	2149.89	2138.95	1961.19	2264.47	2042.11
ENSMUSG00000000134	na	2114.33	3018.08	3095.27	1986.64	1937.87	2861.84	2460.93	2751.55	3062.55	1684.09	1601.12	1806.43	1639.35	1603.58	1748.92
ENSMUSG00000000142	na	560.802	457.37	440.335	1067.39	1092.51	238.264	316.507	521.324	406.864	1153.53	1255.72	1242.15	1292.2	1479.55	1262.77
ENSMUSG00000000148	na	368.288	497.02	506.705	671.481	789.47	425.723	317.508	483.382	499.535	586.526	790.88	711.637	740.057	780.485	774.59
