#1.2							
19067	6						
Name	Description	S78	S76	S74	S80	S43	S44
ENSMUSG00000000001	na	4102.43	3815.91	4231.69	4320.74	4541.85	4754.05
ENSMUSG00000000028	na	66.1278	42.7282	49.0478	75.9039	63.4065	92.6915
ENSMUSG00000000049	na	7.53355	93.7264	17.3554	370.444	498.472	300.733
ENSMUSG00000000056	na	1629.76	1519.61	1500.86	1504.05	1912.92	1651.97
ENSMUSG00000000058	na	2302.75	2759.41	2899.85	2381.89	1741.24	2000.08
ENSMUSG00000000078	na	2039.92	2430.69	2137.73	2560.92	1574.43	1650.94
ENSMUSG00000000085	na	864.684	844.913	860.977	938.075	759.902	896.015
ENSMUSG00000000088	na	10215.1	8470.51	9133.27	8423.76	11432.5	10392.9
ENSMUSG00000000093	na	2559.73	2571.27	3478.62	2329.92	2657.22	2336.86
ENSMUSG00000000120	na	27.623	35.8366	67.1577	28.8765	21.4606	39.1364
ENSMUSG00000000126	na	92.0766	160.576	218.074	163.358	79.9897	88.5719
ENSMUSG00000000127	na	196.709	247.41	271.649	242.562	170.71	229.669
ENSMUSG00000000131	na	1799.68	1836.63	1968.69	1895.95	1743.18	1845.6
ENSMUSG00000000134	na	1104.08	1044.08	1435.21	1271.39	1029.14	1133.93
ENSMUSG00000000142	na	80.3578	312.192	341.07	292.89	31.2155	80.3327
ENSMUSG00000000148	na	681.364	615.423	670.066	587.43	776.486	734.322
ENSMUSG00000000149	na	3913.26	3367.26	3838.55	4090.56	5092.03	5265.85
ENSMUSG00000000154	na	10216.1	7795.32	7010.03	8772.9	16362.4	13663.5
ENSMUSG00000000159	na	1666.3	1539.1	1574.43	1730.49	1966.97	2039.61
ENSMUSG00000000167	na	86.2172	86.8348	73.1944	70.1286	72.1858	88.5719
ENSMUSG00000000168	na	6620.4	5480.26	6656.23	6216.79	7243.92	7888.08
ENSMUSG00000000171	na	10350.3	8648.33	8999.89	8955.01	12258.9	11955.2
ENSMUSG00000000184	na	586.779	746.366	1173.37	1009.85	404.826	606.615
ENSMUSG00000000194	na	2357.17	2308.69	2478.05	2541.12	2486.5	2538.73
ENSMUSG00000000204	na	51.0607	30.5666	27.1649	35.4768	16.5832	24.7178
ENSMUSG00000000216	na	2112.74	1712.58	1792.13	1301.92	1479.81	1561.34
ENSMUSG00000000244	na	10.8818	6.89165	15.0916	7.42538	8.77935	8.23925
ENSMUSG00000000253	na	2153.75	1710.51	1928.71	2564.23	3295.18	2964.07
ENSMUSG00000000266	na	988.579	1009.64	1070.74	1110.52	922.806	1031.98
ENSMUSG00000000275	na	3537.27	3584.99	3552.59	3147.56	3712.83	4296.6
ENSMUSG00000000276	na	369.98	407.296	445.957	437.273	244.846	371.796
ENSMUSG00000000278	na	5307.8	4244.57	4204.52	3879.35	6714.25	6186.65
ENSMUSG00000000282	na	1140.91	1223.96	1191.48	1109.68	1150.1	1466.59
ENSMUSG00000000290	na	100.447	80.6324	121.488	94.0548	59.5045	84.4523
ENSMUSG00000000295	na	175.783	210.885	195.436	214.511	180.464	167.875
ENSMUSG00000000296	na	633.654	753.26	777.977	952.92	596.02	658.111
ENSMUSG00000000301	na	46.8754	31.7016	48.2932	47.8524	49.7497	30.8972
ENSMUSG00000000303	na	8299.42	9437.45	10583.7	13129.8	7758	8279.38
ENSMUSG00000000305	na	108.818	79.254	98.8501	91.5797	96.5729	90.6318
ENSMUSG00000000308	na	2487.76	1843.53	1598.21	1274.69	1597.83	1507.78
ENSMUSG00000000317	na	115.514	108.199	151.671	114.681	74.1368	69.0037
ENSMUSG00000000318	na	17.5783	29.8357	30.355	43.7272	5.8529	22.6579
ENSMUSG00000000320	na	237.725	186.075	175.817	103.13	142.421	153.456
ENSMUSG00000000326	na	3679.73	3401.85	3686.82	4876.85	6419.42	6353.33
ENSMUSG00000000339	na	746.66	709.84	725.152	768.116	906.225	856.882
ENSMUSG00000000340	na	5252.54	4808.31	4470.88	4338.9	6518.19	6087.78
ENSMUSG00000000346	na	10538.9	9489.87	9716.35	9940.97	11674	10749.8
ENSMUSG00000000355	na	820.319	840.095	752.316	792.039	992.068	1042.26
ENSMUSG00000000359	na	127.233	199.858	193.173	120.456	119.984	79.3028
ENSMUSG00000000374	na	2613.3	2361.77	2893.81	2794.41	2728.44	2907.42
ENSMUSG00000000378	na	584.271	598.883	707.04	752.441	730.636	735.355
ENSMUSG00000000384	na	1497.49	1291.49	1294.87	1519.73	1785.14	1784.82
ENSMUSG00000000385	na	8624.93	10496	11432.7	11031	7055.7	7914.88
ENSMUSG00000000386	na	36.8307	38.5932	17.3554	27.2264	15.6077	17.5084
ENSMUSG00000000392	na	11.7188	20.675	33.2016	8.25042	9.75484	2.05981
ENSMUSG00000000399	na	8596.42	6807.97	6644.47	6873.01	9085.05	7970.06
ENSMUSG00000000402	na	1044.65	1202.59	593.101	924.872	461.404	673.559
ENSMUSG00000000409	na	31.8083	39.2824	64.1394	68.4785	20.4852	13.3888
ENSMUSG00000000416	na	842.08	605.777	659.504	207.085	404.825	353.257
ENSMUSG00000000420	na	3946.1	3521.46	4334.32	8588.19	10256.9	10158.9
ENSMUSG00000000439	na	818.644	849.741	930.398	874.545	849.646	888.809
ENSMUSG00000000440	na	113.003	108.199	614.982	458.722	56.5781	371.797
ENSMUSG00000000441	na	3120.54	3282.48	3277.14	3717.66	3740.04	3945.59
ENSMUSG00000000486	na	197.546	140.59	144.88	127.056	142.421	149.336
ENSMUSG00000000489	na	685.553	914.523	1073.77	1367.92	688.692	881.599
ENSMUSG00000000530	na	631.144	735.34	750.057	629.506	385.316	520.103
ENSMUSG00000000531	na	287.112	370.082	227.129	220.286	124.862	220.4
ENSMUSG00000000532	na	2712.91	2392.78	2284.12	1856.34	2015.35	2145.29
ENSMUSG00000000538	na	6279.57	5557.5	5245.87	5022.21	6032.44	6154.67
ENSMUSG00000000552	na	154.856	102.686	172.799	99.8302	140.47	136.978
ENSMUSG00000000555	na	278.742	311.501	401.436	296.19	159.98	240.997
