#1.2										
19067	9									
Name	Description	S47	S48	S79	S77	S75	S46	S42	S81	S82
ENSMUSG00000000001	na	3509.35	5871.36	5592.81	5409.48	4479.02	6814.14	3769.61	7576.47	4113.54
ENSMUSG00000000028	na	61.9449	57.1576	24.0939	49.4504	31.4995	73.8629	86.6365	79.2058	101.381
ENSMUSG00000000049	na	406.944	349.296	190.744	155.138	282.479	929.734	778.807	749.815	1312.89
ENSMUSG00000000056	na	1024.67	446.941	755.948	870.714	402.38	599.11	958.532	558.841	1646.6
ENSMUSG00000000058	na	2863.23	3165.1	4098.98	2830.31	3127.59	2289.75	2044.25	4233.11	2430.63
ENSMUSG00000000078	na	4505.62	31728.2	20015	25795.3	36671.3	39469.2	11254.5	37228.7	3847.42
ENSMUSG00000000085	na	874.109	858.953	980.825	883.319	739.728	903.939	807.379	880.943	919.192
ENSMUSG00000000088	na	11357.7	10449	10264.4	11044.7	16137.4	11958.6	14834	12127.4	8197.24
ENSMUSG00000000093	na	2794.4	1958.44	2575.04	1784.09	2538.25	1634.36	2121.67	1977.5	2667.17
ENSMUSG00000000120	na	27.5311	90.4995	103.403	116.354	94.4984	103.174	74.6549	47.5235	80.2601
ENSMUSG00000000126	na	152.281	78.5918	89.3483	63.025	88.4017	102.001	81.1065	104.728	157.141
ENSMUSG00000000127	na	237.455	285.788	246.963	191.984	163.594	230.968	140.093	215.616	243.315
ENSMUSG00000000131	na	1811.88	2544.31	2602.13	2571.41	2291.33	3118.64	2430.44	2819.71	1941.45
ENSMUSG00000000134	na	1250.08	2064.02	1622.33	1741.43	2076.94	1802.04	1322.59	1849.01	1355.14
ENSMUSG00000000142	na	57.6432	25.4034	104.407	17.4531	19.3061	19.9313	29.4933	27.282	137.709
ENSMUSG00000000148	na	625.472	439.002	470.836	379.12	312.962	350.556	484.795	322.984	666.58
ENSMUSG00000000149	na	2643.84	2275.98	1931.53	2844.85	2136.88	3431.69	3266.38	2803	4245.34
ENSMUSG00000000154	na	6612.44	5295.19	4736.5	8288.41	8442.16	10534.6	14508.7	8974.57	10211.6
ENSMUSG00000000159	na	1660.9	2070.57	1806.05	2197.78	2161.39	2886.23	2251.46	2674.59	1765.66
ENSMUSG00000000167	na	61.9449	53.1883	52.2036	32.9669	53.8539	60.9662	71.8899	56.3241	84.4843
ENSMUSG00000000168	na	5221.52	5407.03	5824.76	6169.62	6271.37	7862.29	8053.53	7490.13	7127.91
ENSMUSG00000000171	na	8247.28	7347.93	8181.9	9284.06	11514.6	11029	13343.9	11840.4	9053.34
ENSMUSG00000000184	na	1149.42	1309.07	1645.42	1269.23	1290.46	712.836	544.704	641.567	931.017
ENSMUSG00000000194	na	2316.91	2080.71	2256.8	2019.71	1627.81	2884.16	2252.53	2681.56	2856.4
ENSMUSG00000000204	na	904.221	4376.5	2599.12	1689.25	2157.63	2355.38	465.44	514.087	121.657
ENSMUSG00000000216	na	1980.52	2051.32	1799.01	2241.75	2042.38	1165.39	1833.19	1505.79	1389.77
ENSMUSG00000000244	na	20.6483	7.93856	6.02349	3.87846	15.2417	4.68971	6.45166	6.16045	12.6726
ENSMUSG00000000253	na	1662.19	3265.12	2237.73	2640.26	2132.82	3219.49	2325.36	2468.58	2011.57
ENSMUSG00000000266	na	813.892	1101.08	1073.2	1245.94	1009	1194.7	975.116	1117.69	1132.93
ENSMUSG00000000275	na	5496.41	13786.4	13300.7	12049.3	14277.4	13751.5	5157.76	8533.81	5575.41
ENSMUSG00000000276	na	360.484	521.564	551.147	577.892	488.751	575.662	499.543	547.401	441.854
ENSMUSG00000000278	na	3965.33	4101.06	3740.59	5285.37	5504.28	6447.17	5505.1	5962.44	4784.35
ENSMUSG00000000282	na	1368.81	2005.28	2106.21	1988.68	2615.47	2367.13	2325.36	2878.69	1757.27
ENSMUSG00000000290	na	201.321	326.276	224.877	368.454	156.481	402.143	210.14	188.334	202.763
ENSMUSG00000000295	na	280.473	263.56	282.1	230.768	369.864	202.83	260.831	242.017	137.709
ENSMUSG00000000296	na	542.877	472.343	726.833	499.351	672.666	542.833	695.856	876.546	647.152
ENSMUSG00000000301	na	42.1569	40.4866	71.278	69.8122	68.0795	62.1386	64.5166	92.4068	38.018
