#1.2							
20399	6						
Name	Description	S39	S3	S2	S35	S37	S33
ENSMUSG00000000001	na	3568.98	3739.72	3110.35	4490.79	2836.32	2867.3
ENSMUSG00000000028	na	81.0977	41.158	69.6541	60.4285	54.167	53.9839
ENSMUSG00000000031	na	10.813	35.5088	9.76459	20.3549	32.5002	162.635
ENSMUSG00000000037	na	10.813	16.1404	9.76459	31.1684	20.9897	17.7668
ENSMUSG00000000049	na	10.1372	4.03509	9.76459	10.8135	0.677088	74.4841
ENSMUSG00000000056	na	624.453	735.194	501.9	919.786	517.972	534.372
ENSMUSG00000000058	na	13191.7	16820.6	10383.8	15525.3	11427.2	10101.2
ENSMUSG00000000078	na	14978.1	12136.9	13869.6	12069.1	11477.2	10621.2
ENSMUSG00000000085	na	1313.11	1313.83	1152.87	1293.17	1255.32	1201.31
ENSMUSG00000000088	na	1894.29	1823.05	2745.78	1320.51	1866.72	2506.49
ENSMUSG00000000093	na	9546.56	10768.9	8504.96	11774	11866	10912.3
ENSMUSG00000000094	na	2326.13	2595.33	3602.64	3726.91	3112.5	2288.52
ENSMUSG00000000120	na	15.5437	23.4035	18.2272	31.8045	31.8231	41.0004
ENSMUSG00000000125	na	4.05489	8.07018	1.30195	1.27218	2.03126	3.4167
ENSMUSG00000000126	na	498.75	428.53	419.227	400.099	540.99	606.809
ENSMUSG00000000127	na	440.631	468.069	365.848	513.324	438.753	340.303
ENSMUSG00000000131	na	2138.95	2149.89	1756.98	2264.47	2042.11	1961.19
ENSMUSG00000000134	na	1806.43	1601.12	1684.09	1603.58	1748.92	1639.35
ENSMUSG00000000142	na	1242.15	1255.72	1153.53	1479.55	1262.77	1292.2
ENSMUSG00000000148	na	711.637	790.88	586.526	780.485	774.59	740.057
ENSMUSG00000000149	na	3189.85	3432.25	3041.35	3511.22	2312.93	2837.91
ENSMUSG00000000154	na	234.508	230.807	297.496	167.927	295.211	789.258
ENSMUSG00000000157	na	7.43396	5.64913	6.50973	66.1533	25.7293	1.36668
ENSMUSG00000000159	na	555.583	532.836	613.217	480.809	466.042	552.223
ENSMUSG00000000167	na	208.151	276	298.797	227.72	350.732	386.77
ENSMUSG00000000168	na	1464.5	1711.69	1481.62	1570.5	1455.07	1690.58
ENSMUSG00000000171	na	2375.49	2360.53	3142.9	2049.48	2116.58	2973.9
ENSMUSG00000000184	na	5914.06	5607.16	6160.16	4718.51	4576.44	5397.02
ENSMUSG00000000194	na	2482.93	2412.99	2039.5	2581.87	2050.89	1908.57
ENSMUSG00000000197	na	29.7359	25.8246	44.9171	29.2601	20.9897	19.1335
ENSMUSG00000000202	na	2.70326	7.26317	5.20778	2.54436	11.5105	8.20008
ENSMUSG00000000204	na	5820.31	3386.21	1540.84	4438.21	7873.44	816.59
ENSMUSG00000000216	na	4861.14	4792.88	4114.15	4305.06	3186.38	3321.72
ENSMUSG00000000223	na	16.2196	33.0878	13.6704	23.5353	30.469	15.0335
ENSMUSG00000000244	na	169.63	137.193	281.871	121.493	183.491	201.585
ENSMUSG00000000253	na	292.628	343.79	389.933	228.356	343.283	498.839
ENSMUSG00000000266	na	2438.34	2784.26	1846.19	2529.03	2048.24	1881.2
ENSMUSG00000000275	na	4306.5	4458.66	3439.72	4660.95	4114.66	3373.55
ENSMUSG00000000276	na	1085.37	1299.3	984.278	1282.36	1061.68	1022.28
ENSMUSG00000000278	na	1512.47	1547.86	1314.31	1606.76	1584.39	1732.27
ENSMUSG00000000282	na	2018.66	1806.11	1617.02	2025.94	1906	1739.78
ENSMUSG00000000290	na	2007.19	1883.6	1657.39	2672.86	1853.88	1348.25
ENSMUSG00000000295	na	177.063	135.579	205.057	106.863	145.574	189.969
ENSMUSG00000000296	na	34.4666	37.9299	37.1054	30.5323	49.4274	56.0339
ENSMUSG00000000301	na	36.494	38.7369	50.1249	36.2571	41.9794	67.6507
ENSMUSG00000000303	na	13202.7	11424.1	15016	10656.4	10272.8	12472.3
ENSMUSG00000000305	na	208.151	219.509	207.66	197.188	178.751	138.035
ENSMUSG00000000308	na	568.361	493.894	637.301	414.095	615.472	708.625
ENSMUSG00000000317	na	1053.6	798.141	871.653	872.079	678.442	722.291
ENSMUSG00000000318	na	129.933	130.31	130.362	229.826	155.545	173.293
ENSMUSG00000000320	na	266.271	225.965	186.829	183.83	341.252	341.671
ENSMUSG00000000326	na	2176.81	2203.16	2533.6	1943.88	2150.41	2375.25
ENSMUSG00000000339	na	659.596	612.528	645.112	561.666	536.931	649.173
ENSMUSG00000000340	na	1211.74	1319.47	1544.76	1358.69	1365.69	1473.28
ENSMUSG00000000346	na	11220.5	10260.9	11908.5	9926.37	10339.6	10458
ENSMUSG00000000355	na	695.415	731.966	991.433	596.65	769.849	835.726
ENSMUSG00000000359	na	137.866	196.912	285.127	237.898	202.449	192.702
ENSMUSG00000000374	na	1724	2099.06	1514.82	2426.06	1803.76	1638.65
ENSMUSG00000000378	na	1156.99	851.403	1113.16	955.405	910.685	915.682
ENSMUSG00000000384	na	541.327	543.124	462.842	537.495	547.766	560.338
ENSMUSG00000000385	na	3391.91	3271.64	4116.75	3187.45	3126.79	4171.09
ENSMUSG00000000386	na	127.357	160.597	104.807	134.215	228.856	144.868
ENSMUSG00000000392	na	82.4494	86.351	96.9949	55.9759	106.98	95.6676
ENSMUSG00000000399	na	1458.4	1515.61	1301.28	1374.57	1237.73	1707.67
ENSMUSG00000000402	na	1443.54	1501.86	1654.77	1559.06	1321	1617.47
ENSMUSG00000000409	na	317.633	255.018	371.054	307.867	331.774	266.502
ENSMUSG00000000416	na	124.35	158.176	139.959	150.117	117.136	181.769
ENSMUSG00000000420	na	3873.83	3776.95	3264.54	3780.23	2898.51	3133.18
ENSMUSG00000000439	na	1034	1061.23	921.777	996.751	868.703	978.543
ENSMUSG00000000440	na	225.047	210.632	312.466	199.096	255.939	239.169
ENSMUSG00000000441	na	4351.56	4131.94	4451.32	4142.89	4012.43	4389.05
ENSMUSG00000000486	na	254.107	241.298	223.284	281.152	348.023	295.203
ENSMUSG00000000489	na	3702.77	3843.83	3835.53	2982.64	3019.8	2846.81
ENSMUSG00000000530	na	16850.1	19479.5	13599.6	20236.9	13486.5	12240
ENSMUSG00000000531	na	1521.26	1153.23	1275.26	1254.37	1248.55	1213.61
ENSMUSG00000000532	na	3500.72	3772.81	2486.07	4084.33	3383.41	3180.27
ENSMUSG00000000538	na	3820.44	3912.43	3071.91	3984.56	3700.15	3457.81
ENSMUSG00000000552	na	256.133	224.351	192.688	251.892	269.48	300.669
ENSMUSG00000000555	na	1667.88	1651.98	1283.71	1748.61	1614.17	1322.28
ENSMUSG00000000561	na	1173.95	1090.66	1234.11	1194.11	1222.49	1305.51
ENSMUSG00000000562	na	44.6038	23.5805	42.9642	82.0514	45.3649	31.4331
ENSMUSG00000000563	na	4267.14	3965.08	5431.24	3269.46	4119.52	4747.37
ENSMUSG00000000567	na	39.8731	53.2632	27.9918	47.7067	44.6878	36.217
ENSMUSG00000000568	na	3522.36	3391.91	3393.56	3176.61	3972.5	3834.91
ENSMUSG00000000579	na	688.051	713.644	818.883	731.964	911.74	786.853
ENSMUSG00000000581	na	1025.89	981.334	1520.02	821.193	1027.82	1147.33
ENSMUSG00000000594	na	3285.14	3462.11	3065.43	3434.25	3501.9	3420.8
ENSMUSG00000000600	na	1812.53	2011.1	1973.76	2004.95	2101	1857.99
ENSMUSG00000000605	na	4368.45	4317.51	4599.13	4196.95	4229.1	4268.18
ENSMUSG00000000627	na	1453.67	1135.47	1849.41	1022.83	935.736	1340.03
ENSMUSG00000000628	na	1346.9	1335.61	1122.28	1300.17	1154.43	1033.21
ENSMUSG00000000631	na	4751.02	4766.28	3762.59	5014.36	4209.43	4115.82
ENSMUSG00000000673	na	69.6089	74.2457	87.8814	87.1443	104.272	360.804
ENSMUSG00000000682	na	973.174	804.597	1067.6	927.419	945.215	664.89
ENSMUSG00000000686	na	50.6861	110.562	29.9448	116.404	41.3024	36.9004
ENSMUSG00000000690	na	130.432	85.5439	195.943	117.677	123.907	154.435
ENSMUSG00000000693	na	266.947	320.387	256.483	347.306	435.369	300.67
ENSMUSG00000000708	na	3271.24	3024.67	3162	3237.44	2840.81	2791.52
ENSMUSG00000000711	na	4446.47	4609.65	3429.67	5309.68	3581.57	3843.99
ENSMUSG00000000730	na	15.5437	5.64913	16.2743	7.63308	4.73961	10.2501
ENSMUSG00000000732	na	960.333	961.157	898.984	1142.43	1197.09	1069.43
ENSMUSG00000000738	na	1511.79	1584.18	1416.52	1470	1337.92	1545.03
