#1.2										
20399	9									
Name	Description	S41	S40	S5	S1	S6	S7	S34	S36	S38
ENSMUSG00000000001	na	3831.6	6082.61	6867	4056.19	5240.57	5679.8	3672.88	5904.54	5834.48
ENSMUSG00000000028	na	69.8653	176.277	159.526	60.2653	66.9042	137.527	72.1154	67.5368	93.3059
ENSMUSG00000000031	na	3.88141	3.56835	2.76635	3.34807	13.3808	58.6902	3.00481	21.2475	6.98208
ENSMUSG00000000037	na	10.9973	7.13671	9.22117	12.5553	6.29687	3.50389	26.0417	13.6591	3.17367
ENSMUSG00000000049	na	225.122	22.8375	11.9875	22.5995	64.5429	10.5117	13.0208	22.7652	108.54
ENSMUSG00000000056	na	562.804	398.228	361.47	160.707	807.574	228.629	154.247	365.003	344.026
ENSMUSG00000000058	na	9462.32	3310.72	2854.87	4397.69	10505.7	2353.73	2554.09	4725.3	2809.97
ENSMUSG00000000078	na	11894	19766.4	20344.4	23569.8	14415.2	19630.7	27806.6	19623	18349
ENSMUSG00000000085	na	1325.49	1193.98	1221.8	1373.55	1329.43	1126.5	1635.61	1460.77	1246.61
ENSMUSG00000000088	na	1830.09	2441.48	2807.82	2977.25	1460.86	3469.76	3190.11	2153.57	2556.68
ENSMUSG00000000093	na	7596.56	4571.06	4541.42	4352.49	9246.95	2788.22	2779.45	6216.42	5995.7
ENSMUSG00000000094	na	3200.82	1809.13	2256.43	1700.83	3767.93	1772.96	1149.83	2703.7	2451.98
ENSMUSG00000000120	na	20.7008	13.5597	24.8971	17.5774	19.6777	46.4265	26.0417	26.5594	49.5093
ENSMUSG00000000125	na	3.88141	4.99569	0.922117	4.18509	1.57422	0.875972	8.01282	2.27652	0.634734
ENSMUSG00000000126	na	417.251	137.025	99.5886	163.218	390.407	77.9615	88.1411	157.08	122.504
ENSMUSG00000000127	na	365.5	221.951	241.595	204.232	410.083	316.226	261.419	303.536	291.343
ENSMUSG00000000131	na	2133.47	3044.48	3484.68	2292.59	2388.87	2772.45	2858.59	3169.67	2599.24
ENSMUSG00000000134	na	1986.64	3095.27	3018.08	2114.33	1937.87	2861.84	2460.93	2751.55	3062.55
ENSMUSG00000000142	na	1067.39	440.335	457.37	560.802	1092.51	238.264	316.507	521.324	406.864
ENSMUSG00000000148	na	671.481	506.705	497.02	368.288	789.47	425.723	317.508	483.382	499.535
