Downregulated,Upregulated
ENSMUSG00000106107,ENSMUSG00000024054
ENSMUSG00000048782,ENSMUSG00000028868
ENSMUSG00000087613,ENSMUSG00000020282
ENSMUSG00000026725,ENSMUSG00000097772
ENSMUSG00000084854,ENSMUSG00000031309
ENSMUSG00000085412,ENSMUSG00000038335
ENSMUSG00000096010,ENSMUSG00000015755
ENSMUSG00000048911,ENSMUSG00000045973
ENSMUSG00000055945,ENSMUSG00000027722
ENSMUSG00000034881,ENSMUSG00000041073
ENSMUSG00000032532,ENSMUSG00000025178
ENSMUSG00000117870,ENSMUSG00000038235
ENSMUSG00000086924,ENSMUSG00000020790
ENSMUSG00000115888,ENSMUSG00000039285
ENSMUSG00000090622,ENSMUSG00000026377
ENSMUSG00000105402,ENSMUSG00000022378
ENSMUSG00000109508,ENSMUSG00000032300
ENSMUSG00000029608,ENSMUSG00000044768
ENSMUSG00000046916,ENSMUSG00000111118
ENSMUSG00000120104,ENSMUSG00000022974
ENSMUSG00000018581,ENSMUSG00000025104
ENSMUSG00000055827,ENSMUSG00000049092
ENSMUSG00000049241,ENSMUSG00000020910
ENSMUSG00000018486,ENSMUSG00000020184
ENSMUSG00000062545,ENSMUSG00000040586
ENSMUSG00000026185,ENSMUSG00000036391
ENSMUSG00000063730,ENSMUSG00000014496
ENSMUSG00000021228,ENSMUSG00000001248
ENSMUSG00000027762,ENSMUSG00000048661
ENSMUSG00000039579,ENSMUSG00000031530
ENSMUSG00000079173,ENSMUSG00000068015
ENSMUSG00000059336,ENSMUSG00000015357
ENSMUSG00000055235,ENSMUSG00000002728
ENSMUSG00000086140,ENSMUSG00000022623
ENSMUSG00000079495,ENSMUSG00000060716
ENSMUSG00000043496,ENSMUSG00000093392
ENSMUSG00000086740,ENSMUSG00000020869
ENSMUSG00000040283,ENSMUSG00000023048
ENSMUSG00000073000,ENSMUSG00000038855
ENSMUSG00000090817,ENSMUSG00000041143
ENSMUSG00000019464,ENSMUSG00000003208
ENSMUSG00000038077,ENSMUSG00000023150
ENSMUSG00000006711,ENSMUSG00000020387
ENSMUSG00000109715,ENSMUSG00000030339
ENSMUSG00000033963,ENSMUSG00000025485
ENSMUSG00000120464,ENSMUSG00000021408
ENSMUSG00000093535,ENSMUSG00000052293
ENSMUSG00000085929,ENSMUSG00000028249
ENSMUSG00000032131,ENSMUSG00000050854
ENSMUSG00000105961,ENSMUSG00000026049
ENSMUSG00000037624,ENSMUSG00000032333
ENSMUSG00000055489,ENSMUSG00000048439
ENSMUSG00000002032,ENSMUSG00000029777
ENSMUSG00000040860,ENSMUSG00000060733
ENSMUSG00000020798,ENSMUSG00000049044
ENSMUSG00000097405,ENSMUSG00000029110
ENSMUSG00000042425,ENSMUSG00000007029
ENSMUSG00000097286,ENSMUSG00000063019
ENSMUSG00000032946,ENSMUSG00000028329
ENSMUSG00000112289,ENSMUSG00000032860
ENSMUSG00000021943,ENSMUSG00000092368
ENSMUSG00000029419,ENSMUSG00000036197
ENSMUSG00000031383,ENSMUSG00000001525
ENSMUSG00000020811,ENSMUSG00000080772
ENSMUSG00000061578,ENSMUSG00000004451
ENSMUSG00000072683,ENSMUSG00000083240
ENSMUSG00000050107,ENSMUSG00000027012
ENSMUSG00000100426,ENSMUSG00000046079
ENSMUSG00000029546,ENSMUSG00000120926
ENSMUSG00000078592,ENSMUSG00000024851
ENSMUSG00000113629,ENSMUSG00000019814
ENSMUSG00000097503,ENSMUSG00000027422
ENSMUSG00000048424,ENSMUSG00000024835
ENSMUSG00000102953,ENSMUSG00000034168
ENSMUSG00000031390,ENSMUSG00000023206
ENSMUSG00000106838,ENSMUSG00000027200
ENSMUSG00000039717,ENSMUSG00000070639
ENSMUSG00000096938,ENSMUSG00000121696
ENSMUSG00000055022,ENSMUSG00000027222
ENSMUSG00000026322,ENSMUSG00000051396
ENSMUSG00000097730,ENSMUSG00000030528
ENSMUSG00000024168,ENSMUSG00000051703
ENSMUSG00000051262,ENSMUSG00000028367
ENSMUSG00000060176,ENSMUSG00000037400
ENSMUSG00000112366,ENSMUSG00000034591
ENSMUSG00000037813,ENSMUSG00000118552
ENSMUSG00000006574,ENSMUSG00000019590
ENSMUSG00000095143,ENSMUSG00000033554
ENSMUSG00000075549,ENSMUSG00000008730
ENSMUSG00000095388,ENSMUSG00000035184
ENSMUSG00000056468,ENSMUSG00000021638
ENSMUSG00000033705,ENSMUSG00000022285
ENSMUSG00000041797,ENSMUSG00000064030
ENSMUSG00000118631,ENSMUSG00000047821
ENSMUSG00000096549,ENSMUSG00000051390
ENSMUSG00000120233,ENSMUSG00000054065
ENSMUSG00000025418,ENSMUSG00000028010
ENSMUSG00000078486,ENSMUSG00000027351
ENSMUSG00000035407,ENSMUSG00000049470
ENSMUSG00000041261,ENSMUSG00000041238
ENSMUSG00000044164,ENSMUSG00000063800
ENSMUSG00000074060,ENSMUSG00000032599
ENSMUSG00000091366,ENSMUSG00000031980
ENSMUSG00000050592,ENSMUSG00000105987
ENSMUSG00000032122,ENSMUSG00000029830
ENSMUSG00000040950,ENSMUSG00000022089
ENSMUSG00000089694,ENSMUSG00000022900
ENSMUSG00000047507,ENSMUSG00000024785
ENSMUSG00000079436,ENSMUSG00000030029
ENSMUSG00000047583,ENSMUSG00000025464
ENSMUSG00000046275,ENSMUSG00000029344
ENSMUSG00000002504,ENSMUSG00000040631
ENSMUSG00000071042,ENSMUSG00000031586
ENSMUSG00000103160,ENSMUSG00000020572
ENSMUSG00000121088,ENSMUSG00000045538
ENSMUSG00000070368,ENSMUSG00000039770
ENSMUSG00000038132,ENSMUSG00000002603
ENSMUSG00000109587,ENSMUSG00000121785
ENSMUSG00000020140,ENSMUSG00000115276
ENSMUSG00000019893,ENSMUSG00000070003
ENSMUSG00000042766,ENSMUSG00000020917
ENSMUSG00000000142,ENSMUSG00000020812
ENSMUSG00000034911,ENSMUSG00000050199
ENSMUSG00000047787,ENSMUSG00000030967
ENSMUSG00000027831,ENSMUSG00000031004
