Downregulated,Upregulated
ENSMUSG00000028240,ENSMUSG00000117939
ENSMUSG00000120174,ENSMUSG00000014859
ENSMUSG00000045441,ENSMUSG00000031918
ENSMUSG00000005677,ENSMUSG00000034343
ENSMUSG00000002032,ENSMUSG00000029338
ENSMUSG00000097730,ENSMUSG00000079641
ENSMUSG00000052957,ENSMUSG00000036112
ENSMUSG00000027796,ENSMUSG00000000568
ENSMUSG00000009633,ENSMUSG00000025220
ENSMUSG00000120200,ENSMUSG00000043024
ENSMUSG00000045775,ENSMUSG00000028234
ENSMUSG00000040127,ENSMUSG00000011254
ENSMUSG00000083594,ENSMUSG00000061232
ENSMUSG00000042834,ENSMUSG00000022553
ENSMUSG00000120337,ENSMUSG00000022300
ENSMUSG00000058260,ENSMUSG00000020696
ENSMUSG00000024986,ENSMUSG00000118668
ENSMUSG00000062545,ENSMUSG00000027285
ENSMUSG00000029195,ENSMUSG00000064341
ENSMUSG00000062960,ENSMUSG00000043241
ENSMUSG00000038370,ENSMUSG00000057667
ENSMUSG00000027762,ENSMUSG00000018481
ENSMUSG00000078650,ENSMUSG00000039908
ENSMUSG00000102095,ENSMUSG00000020315
ENSMUSG00000075304,ENSMUSG00000034300
ENSMUSG00000050445,ENSMUSG00000085442
ENSMUSG00000101514,ENSMUSG00000022109
ENSMUSG00000044708,ENSMUSG00000005102
ENSMUSG00000028536,ENSMUSG00000024191
ENSMUSG00000027983,ENSMUSG00000037149
ENSMUSG00000115919,ENSMUSG00000024317
ENSMUSG00000115867,ENSMUSG00000024594
ENSMUSG00000045287,ENSMUSG00000029430
ENSMUSG00000037348,ENSMUSG00000041769
ENSMUSG00000041782,ENSMUSG00000068200
ENSMUSG00000116903,ENSMUSG00000061607
ENSMUSG00000021228,ENSMUSG00000020780
ENSMUSG00000042589,ENSMUSG00000024604
ENSMUSG00000047492,ENSMUSG00000015671
ENSMUSG00000040170,ENSMUSG00000008435
ENSMUSG00000121473,ENSMUSG00000020755
